Price,Date,Close,High,Low,Open,Volume
222,18-11-2010,9.291973114,9.329330253,9.179299954,9.194663708,494491200
223,19-11-2010,9.240760803,9.291072325,9.19587221,9.278117953,384843200
224,22-11-2010,9.440499306,9.440499306,9.21485048,9.239252449,393075200
225,23-11-2010,9.301012039,9.391995918,9.235637639,9.352830326,519447600
226,24-11-2010,9.483879089,9.501955512,9.391993424,9.39952406,413725200
227,26-11-2010,9.489907265,9.57124958,9.427846472,9.451947571,237585600
228,29-11-2010,9.54624176,9.56461825,9.380846111,9.504967664,445785200
229,30-11-2010,9.373918533,9.470625398,9.365482868,9.44592095,501858000
230,01-12-2010,9.532081604,9.572752346,9.489904092,9.498038079,461750800
231,02-12-2010,9.584806442,9.610413508,9.486592795,9.566127467,462837200
232,03-12-2010,9.56341362,9.599866531,9.530274317,9.550459253,342092800
233,06-12-2010,9.645057678,9.710733737,9.592937729,9.599565751,448481600
234,07-12-2010,9.586612701,9.760744101,9.58390164,9.755021106,391454000
235,08-12-2010,9.670969009,9.671270685,9.553475441,9.629394028,321935600
236,09-12-2010,9.633311272,9.715857885,9.611017009,9.704711961,294151200
237,10-12-2010,9.657411575,9.672173589,9.598362716,9.629996062,262511200
238,13-12-2010,9.690848351,9.792978925,9.67066422,9.772191442,439815600
239,14-12-2010,9.64927578,9.717061164,9.61041187,9.692658394,351008000
240,15-12-2010,9.651385307,9.730919163,9.616136681,9.640538648,417312000
241,16-12-2010,9.678197861,9.719170287,9.643552585,9.673377481,322030800
242,17-12-2010,9.658913612,9.694463098,9.647465214,9.68964272,386929200
243,20-12-2010,9.707118988,9.738451458,9.587215254,9.688741692,385610400
244,21-12-2010,9.76707077,9.772794569,9.702298929,9.730918727,256354000
245,22-12-2010,9.79598999,9.812861315,9.747486137,9.771888902,265921600
246,23-12-2010,9.748996735,9.795692964,9.736042364,9.79117426,223157200
247,27-12-2010,9.78153038,9.804427182,9.686330301,9.726399302,249816000
248,28-12-2010,9.805333138,9.841183509,9.792981315,9.818588379,175924000
249,29-12-2010,9.799909592,9.834856542,9.794184988,9.827926843,163139200
250,30-12-2010,9.750803947,9.806537583,9.73242665,9.805634164,157494400
251,31-12-2010,9.717664719,9.745381101,9.6800059,9.729413993,193508000
252,03-01-2011,9.928851128,9.949638613,9.786352272,9.810453367,445138400
253,04-01-2011,9.980669022,10.01712194,9.886070682,10.01531429,309080800
254,05-01-2011,10.06231403,10.07255734,9.926744041,9.928250813,255519600
255,06-01-2011,10.0541811,10.09997311,10.02917578,10.084006,300428800
256,07-01-2011,10.12618065,10.13310954,9.999045552,10.06201055,311931200
257,10-01-2011,10.31688404,10.34038259,10.15781551,10.20782535,448560000
258,11-01-2011,10.29248142,10.39250109,10.22710623,10.3900917,444108000
259,12-01-2011,10.37623215,10.37653382,10.30332631,10.34098513,302590400
260,13-01-2011,10.41419601,10.44311831,10.35906491,10.39853058,296780400
261,14-01-2011,10.49855042,10.49855042,10.376839,10.4205225,308840000
262,18-01-2011,10.26265526,10.38647596,9.821299259,9.927345208,1880998000
263,19-01-2011,10.20812893,10.50216494,10.14908087,10.49463269,1135612800
264,20-01-2011,10.02254677,10.19185861,9.94542229,10.13552162,764789200
265,21-01-2011,9.842988968,10.08882267,9.840277102,10.0553817,754401200
266,24-01-2011,10.16624641,10.16624641,9.842986652,9.847506158,574683200
267,25-01-2011,10.28524971,10.28645561,10.07948498,10.13250835,546868000
268,26-01-2011,10.35906219,10.4117839,10.28826487,10.33224923,506875600
269,27-01-2011,10.3397789,10.38436661,10.3283313,10.3569511,285026000
270,28-01-2011,10.12557602,10.37562835,10.0481515,10.36869946,592057200
271,31-01-2011,10.22258663,10.24427834,10.07135123,10.11654069,377246800
272,01-02-2011,10.3946085,10.41328666,10.27259547,10.28223623,426633200
273,02-02-2011,10.37322044,10.4012377,10.35002277,10.3771374,258955200
274,03-02-2011,10.34670353,10.37080542,10.19938435,10.35754938,393797600
275,04-02-2011,10.43889713,10.44492261,10.34881829,10.35273444,321840400
276,07-02-2011,10.6009779,10.64225039,10.47324025,10.48077169,485021600
277,08-02-2011,10.70099545,10.7106362,10.60910979,10.65520346,381040800
278,09-02-2011,10.79017258,10.81547957,10.69105634,10.70069629,482745200
279,10-02-2011,10.6811161,10.84560837,10.48408707,10.76697793,928550000
280,11-02-2011,10.75070763,10.77932742,10.65098803,10.68744175,367572800
281,14-02-2011,10.82090473,10.82994214,10.74649211,10.7489023,310416400
282,15-02-2011,10.84259605,10.84470537,10.77179872,10.82120602,284174800
283,16-02-2011,10.93990231,10.99322574,10.86066853,10.86970593,481157600
284,17-02-2011,10.79439068,10.8537404,10.74076476,10.76275814,530583200
285,18-02-2011,10.56121159,10.83054389,10.52987911,10.80674367,816057200
286,22-02-2011,10.20119762,10.40575809,10.17438546,10.30784613,872555600
287,23-02-2011,10.32200432,10.3828592,10.20119557,10.20601675,671854400
288,24-02-2011,10.32983685,10.39822477,10.19396602,10.36418205,499900800
289,25-02-2011,10.48890591,10.49703989,10.38768035,10.40153814,380018800
290,28-02-2011,10.64104843,10.6964812,10.57808341,10.5816987,403074000
291,01-03-2011,10.52355385,10.71666592,10.47444743,10.70913448,456136800
292,02-03-2011,10.60821247,10.67539534,10.49614101,10.54313892,602590800
293,03-03-2011,10.83235455,10.83928344,10.72269328,10.76095466,500788400
294,04-03-2011,10.84560585,10.85434239,10.77782047,10.84771436,453266800
295,07-03-2011,10.70582008,10.89591941,10.58380702,10.88778461,546123200
296,08-03-2011,10.71786976,10.76727785,10.61212468,10.69226189,356316800
297,09-03-2011,10.61875057,10.68774104,10.5624144,10.68563172,453306000
298,10-03-2011,10.44401836,10.53741162,10.39069411,10.51782843,507539200
299,11-03-2011,10.60428905,10.61423149,10.39370478,10.40364561,471080400
300,14-03-2011,10.65159225,10.73956259,10.58380766,10.64014385,435957200
301,15-03-2011,10.40666199,10.47926695,10.24608669,10.30633983,721081200
302,16-03-2011,9.942105293,10.33345138,9.829130472,10.30332482,1162011200
303,17-03-2011,10.08159447,10.2313239,9.961689931,10.14757141,659422400
304,18-03-2011,9.961992264,10.1888462,9.941807322,10.1566103,753214000
305,21-03-2011,10.22198486,10.2352401,10.10027267,10.12226606,409402000
306,22-03-2011,10.2792263,10.32200718,10.21716551,10.32019954,325922800
307,23-03-2011,10.21867371,10.2497037,10.12106259,10.22138477,372996400
308,24-03-2011,10.39280415,10.42383494,10.20873029,10.29880914,404712000
309,25-03-2011,10.59073353,10.60639896,10.45456023,10.48619357,448910000
310,28-03-2011,10.55759716,10.67448979,10.55759716,10.63924116,309355200
311,29-03-2011,10.57326031,10.57326031,10.42564021,10.47384239,352900800
312,30-03-2011,10.50306606,10.57085226,10.46721569,10.56362088,329406000
313,31-03-2011,10.49945164,10.53831475,10.42564158,10.43467899,274019200
314,01-04-2011,10.38045311,10.59224419,10.34249341,10.57778385,418661600
315,04-04-2011,10.27892494,10.38165729,10.19487157,10.37292075,460084800
316,05-04-2011,10.20963287,10.31085844,10.12256677,10.15239247,482731200
317,06-04-2011,10.18402481,10.36056721,10.15691098,10.27982826,402539200
318,07-04-2011,10.18523026,10.25602677,10.12346954,10.185832,373447200
319,08-04-2011,10.09424686,10.24759158,10.06080669,10.24066268,377535200
320,11-04-2011,9.965907097,10.11262298,9.942408551,10.06411911,398946800
321,12-04-2011,10.01410866,10.05417685,9.947829253,9.956565787,425639200
322,13-04-2011,10.12648487,10.12678574,10.01772704,10.09304388,346220000
323,14-04-2011,10.01471043,10.12256399,10.00386538,10.08641195,301800800
324,15-04-2011,9.86528492,10.05146809,9.845401655,10.04122478,453605600
325,18-04-2011,9.997540474,10.00898888,9.645359909,9.824312493,609898800
326,19-04-2011,10.17859936,10.18221384,9.993319677,10.03519631,419378400
327,20-04-2011,10.31567669,10.41629969,10.28826199,10.34881599,700666400
328,21-04-2011,10.56542778,10.69888923,10.49975171,10.69497227,753810400
329,25-04-2011,10.63502216,10.65731642,10.55337818,10.55458408,266546000
330,26-04-2011,10.55699348,10.69467197,10.5247576,10.65339867,338800000
331,27-04-2011,10.5488596,10.61513902,10.45697391,10.61182461,356213200
332,28-04-2011,10.44643116,10.53681009,10.40937488,10.42955983,360959200
333,29-04-2011,10.54825592,10.66333926,10.44401682,10.44733123,1006345200
334,02-05-2011,10.43227196,10.55850288,10.4087734,10.5365103,442713600
335,03-05-2011,10.49011421,10.54102828,10.41238717,10.48378786,313348000
336,04-05-2011,10.53138542,10.59947168,10.45034399,10.49191896,389250400
337,05-05-2011,10.44643116,10.57296295,10.42534199,10.49613933,335969200
338,06-05-2011,10.44371891,10.54434195,10.43016199,10.53500286,280134400
339,09-05-2011,10.47203541,10.5202384,10.43979952,10.47986772,204747200
340,10-05-2011,10.527771,10.53500157,10.44371763,10.51089966,282091600
341,11-05-2011,10.46088791,10.54433953,10.40093645,10.51481551,336000000
342,12-05-2011,10.44100475,10.45757521,10.31146107,10.42744864,322000000
343,13-05-2011,10.25813675,10.43136474,10.25361805,10.41359079,326116000
344,16-05-2011,10.04122353,10.2798275,10.02013436,10.21897181,449775200
345,17-05-2011,10.12678242,10.12678242,9.963796966,10.00205832,452334400
346,18-05-2011,10.23915577,10.27470527,10.12256565,10.13672511,334776400
347,19-05-2011,10.25904465,10.31568253,10.20300851,10.30574089,261170000
348,20-05-2011,10.09906864,10.2716949,10.09304317,10.22981824,337968400
349,23-05-2011,10.07436275,10.1219632,9.924332458,9.940902111,383600000
350,24-05-2011,10.0077877,10.1195583,9.982179828,10.10750734,321927200
351,25-05-2011,10.14606476,10.19969068,10.02766699,10.04514006,294224000
352,26-05-2011,10.09243965,10.14937918,10.07526745,10.1216628,222560800
353,27-05-2011,10.16504478,10.17167281,10.07165233,10.08641435,203599200
354,31-05-2011,10.47896385,10.47896385,10.27319832,10.27621186,417754400
355,01-06-2011,10.40907001,10.6085084,10.38316208,10.51029638,554682800
356,02-06-2011,10.42684841,10.48348709,10.37262073,10.43889936,338783200
357,03-06-2011,10.34670353,10.40364303,10.30362261,10.33887122,313250000
358,06-06-2011,10.18402481,10.45546643,10.17709592,10.41479568,461941200
359,07-06-2011,10.00326443,10.18944758,9.999046595,10.18794162,529785200
360,08-06-2011,10.0092926,10.0864171,9.961392074,9.995434811,333723600
361,09-06-2011,9.986693382,10.05236944,9.964399129,10.03971594,275088800
362,10-06-2011,9.818282127,9.991811698,9.806532055,9.958370731,433955200
363,13-06-2011,9.83937645,9.89089306,9.793282768,9.857452072,329473200
364,14-06-2011,10.01531506,10.03971783,9.921018385,9.941805871,334569200
365,15-06-2011,9.843893051,9.950842396,9.787555273,9.934272745,399196000
366,16-06-2011,9.79598999,9.902035906,9.590225307,9.848410803,510591200
367,17-06-2011,9.64837265,9.919212544,9.621258815,9.911379426,615020000
368,20-06-2011,9.499545097,9.571246629,9.354334392,9.561003323,640645600
369,21-06-2011,9.800211906,9.815274791,9.49593262,9.540520336,493382400
370,22-06-2011,9.71917057,9.90866815,9.712240871,9.79599337,390583200
371,23-06-2011,9.978863716,9.992721506,9.583903027,9.608605869,559759200
372,24-06-2011,9.831840515,10.03670177,9.79388084,9.983076666,439807200
373,27-06-2011,10.00326443,10.05930054,9.85895792,9.869201227,339813600
374,28-06-2011,10.10027313,10.14365575,10.04544291,10.05176926,294299600
375,29-06-2011,10.06351757,10.13371234,9.998443249,10.12377071,352545200
